medium version intensity reflectance luminance
transp_dark_small 5 10 2.22 90.37
transp_dark_small 6 5 0.49 33.02
transp_dark_small 7 6 0.73 40.73
transp_dark_small 8 9 1.768 75.81
transp_dark_small 9 8 1.369 62.96
transp_dark_steep_small 10 3 0.171 25.17
transp_dark_steep_small 11 10 2.22 162.9
transp_dark_steep_small 12 5 0.49 45.99
transp_dark_steep_small 13 1 0.065 17.83
transp_dark_steep_small 14 9 1.768 132.2
transp_dark_steep_small 1 2 0.092 19.24
transp_dark_steep_small 15 10 2.22 162.4
transp_dark_steep_small 2 7 1.023 82.33
transp_dark_steep_small 3 4 0.305 33.22
transp_dark_steep_small 4 3 0.171 25.15
transp_dark_steep_small 5 8 1.369 104.8
transp_dark_steep_small 6 2 0.092 20.23
transp_dark_steep_small 7 5 0.49 45.64
transp_dark_steep_small 8 6 0.73 62.56
transp_dark_steep_small 9 8 1.369 104.7
transp_med_small 10 5 0.49 142.6
transp_med_small 11 10 2.22 200.1
transp_med_small 12 3 0.171 131.8
transp_med_small 13 4 0.305 135.5
transp_med_small 14 1 0.065 127.8
transp_med_small 15 7 1.023 159.9
transp_med_small 1 1 0.065 128.2
transp_med_small 2 7 1.023 159.5
transp_med_small 3 6 0.73 150.2
transp_med_small 4 5 0.49 142.6
transp_med_small 5 2 0.092 127.7
transp_med_small 6 9 1.768 185.3
transp_med_small 7 3 0.171 131.7
transp_med_small 8 3 0.171 131.8
transp_med_small 9 9 1.768 185.1
transp_med_steep_small 10 2 0.092 101.4
transp_med_steep_small 11 7 1.023 164.8
transp_med_steep_small 12 5 0.49 127.9
transp_med_steep_small 13 9 1.768 214.7
transp_med_steep_small 14 6 0.73 143.7
transp_med_steep_small 15 5 0.49 128.4
transp_med_steep_small 1 6 0.73 144.1
transp_med_steep_small 2 2 0.092 102.1
transp_med_steep_small 3 2 0.092 101.9
transp_med_steep_small 4 10 2.22 245
transp_med_steep_small 5 9 1.768 215
transp_med_steep_small 6 3 0.171 105.9
transp_med_steep_small 7 4 0.305 116.7
transp_med_steep_small 8 4 0.305 116
transp_med_steep_small 9 7 1.023 164
transp_dark_small 10 2 0.092 20.9
transp_dark_small 11 4 0.305 28.05
transp_dark_small 12 6 0.73 40.89
transp_dark_small 13 5 0.49 33.22
transp_dark_small 14 2 0.092 19.32
transp_dark_small 15 7 1.023 50.47
transp_dark_small 1 2 0.092 19.6
transp_dark_small 2 8 1.369 61.71
transp_dark_small 3 9 1.768 76.53
transp_dark_small 4 7 1.023 50.26
transp_dark_small 5 10 2.22 88.79
transp_dark_small 6 5 0.49 33.71
transp_dark_small 7 6 0.73 40.59
transp_dark_small 8 9 1.768 74.31
transp_dark_small 9 8 1.369 62.11
transp_dark_steep_small 10 3 0.171 25.24
transp_dark_steep_small 11 10 2.22 161.6
transp_dark_steep_small 12 5 0.49 48.9
transp_dark_steep_small 13 1 0.065 21.79
transp_dark_steep_small 14 9 1.768 133.8
transp_dark_steep_small 1 2 0.092 20.06
transp_dark_steep_small 15 10 2.22 158.6
transp_dark_steep_small 2 7 1.023 84.29
transp_dark_steep_small 3 4 0.305 35.22
transp_dark_steep_small 4 3 0.171 25.86
transp_dark_steep_small 5 8 1.369 102.5
transp_dark_steep_small 6 2 0.092 25.09
transp_dark_steep_small 7 5 0.49 44.94
transp_dark_steep_small 8 6 0.73 63.38
transp_dark_steep_small 9 8 1.369 104.5
transp_med_small 10 5 0.49 143.8
transp_med_small 11 10 2.22 198.6
transp_med_small 12 3 0.171 135.2
transp_med_small 13 4 0.305 136.4
transp_med_small 14 1 0.065 129.1
transp_med_small 15 7 1.023 162.5
transp_med_small 1 1 0.065 131.7
transp_med_small 2 7 1.023 159.7
transp_med_small 3 6 0.73 150.8
transp_med_small 4 5 0.49 145.7
transp_med_small 5 2 0.092 128.8
transp_med_small 6 9 1.768 184
transp_med_small 7 3 0.171 133.7
transp_med_small 8 3 0.171 134.6
transp_med_small 9 9 1.768 183.9
transp_med_steep_small 10 2 0.092 101.9
transp_med_steep_small 11 7 1.023 168.7
transp_med_steep_small 12 5 0.49 129.6
transp_med_steep_small 13 9 1.768 213.1
transp_med_steep_small 14 6 0.73 145.4
transp_med_steep_small 15 5 0.49 131.6
transp_med_steep_small 1 6 0.73 146.7
transp_med_steep_small 2 2 0.092 104.2
transp_med_steep_small 3 2 0.092 105.4
transp_med_steep_small 4 10 2.22 245.8
transp_med_steep_small 5 9 1.768 215
transp_med_steep_small 6 3 0.171 106.6
transp_med_steep_small 7 4 0.305 122.1
transp_med_steep_small 8 4 0.305 118.8
transp_med_steep_small 9 7 1.023 164.3
transp_dark_small 10 5 0.49 31.84
